tid,name,field_last,parent,weight
1,A,"",0,1
2,A - Acy,ačc,1,2
3,Ačc - Afr,afs,1,3
4,Afs - Akc,akč,1,4
5,Akč - Ale,alf,1,5
6,Alf - Alt,alu,1,6
7,Alu - Ana,anb,1,7
8,Anb - Ann,ano,1,8
9,Ano - Apl,apm,1,9
10,Apm - Arc,ari,1,10
11,Ari - Asi,asj,1,11
12,Asj - Aug,auc,1,12
13,Auc -,b,1,13
14,B,"",0,14
15,B - Bal,bam,14,15
16,Bam - Bar,bas,14,16
17,Bas - Baz,baž,14,17
18,Baž - Ben,beo,14,18
19,Beo - Bez,bež,14,19
20,Bež - Bio,bip,14,20
21,Bip - Blo,blš,14,21
22,Blš - Bom,bon,14,22
23,Bon - Bra,brb,14,23
24,Brb - Bri,brj,14,24
25,Brj - Buj,buk,14,25
26,Buk -,c,14,26
27,C,"",0,27
28,C - Can,cao,27,28
29,Cao - Cau,cav,27,29
30,Cav - Cep,cer,27,30
31,Cer - Cir,cis,27,31
32,Cis - Coh,coc,27,32
33,Coc - Cor,cos,27,33
34,Cos - Cro,crp,27,34
35,Crp - Cyk,cyl,27,35
36,Cyl -,č,27,36
37,Č,"",0,37
38,Č - Čas,čaš,37,38
39,Čaš - Čer,čes,37,39
40,Čes - Čes,češ,37,40
41,Češ - Čie,čif,37,41
42,Čif - Čis,čit,37,42
43,Čit -,d,37,43
44,D,"",0,44
45,D - Dar,das,44,45
46,Das - Def,deg,44,46
47,Deg - Dem,den,44,47
48,Den - Det,deu,44,48
49,Deu - Die,dif,44,49
50,Dif - Dir,dis,44,50
51,Dis - Dob,doc,44,51
52,Doc - Dom,don,44,52
53,Don - Dra,drd,44,53
54,Drd - Dub,duc,44,54
55,Duc - Dva,dvb,44,55
56,Dvb -,e,44,56
57,E,"",0,57
58,E - Egy,eh,57,58
59,Eh - Ekz,el,57,59
60,El - Ele,elf,57,60
61,Elf - End,ene,57,61
62,Ene - Epi,epl,57,62
63,Epl - Esc,ese,57,63
64,Ese - Eug,euh,57,64
65,Euh - Evi,evl,57,65
66,Evl -,f,57,66
67,F,"",0,67
68,F - Far,fas,67,68
69,Fas - Fek,fel,67,69
70,Fel - Fet,feu,67,70
71,Feu - Fil,fim,67,71
72,Fim - Fla,fle,67,72
73,Fle - Fon,foo,67,73
74,Foo - Fou,fov,67,74
75,Fov - Fre,fri,67,75
76,Fri - Ful,fum,67,76
77,Fum -,g,67,77
78,G,"",0,78
79,G - Gam,gan,78,79
80,Gan - Gaz,gaž,78,80
81,Gaž - Geo,gep,78,81
82,Gep - Gez,gfa,78,82
83,Gfa - Glo,glp,78,83
84,Glp - Gom,gon,78,84
85,Gon - Gra,grb,78,85
86,Grb - Gre,grg,78,86
87,Grg - Gub,guc,78,87
88,Guc -,h,78,88
89,H,"",0,89
90,H - Hal,ham,89,90
91,Ham - Har,has,89,91
92,Has - Hei,hej,89,92
93,Hej - Her,hes,89,93
94,Hes - Him,hin,89,94
95,Hin - Hmo,hmx,89,95
96,Hmx - Hol,hom,89,96
97,Hom - Hor,hos,89,97
98,Hos - Hre,hrh,89,98
99,Hrh - Hul,hum,89,99
100,Hum - Hyd,hye,89,100
101,Hye -,ch,89,101
102,CH,"",0,102
103,Ch - Chd,che,102,103
104,Che - Chh,chi,102,104
105,Chi - Chn,cho,102,105
106,Cho - Cht,chu,102,106
107,Chu -,i,102,107
108,I,"",0,108
109,I - Ign,igo,108,109
110,Igo - Imo,imp,108,110
111,Imp - Ind,ine,108,111
112,Ine - Ino,inp,108,112
113,Inp - Int,inu,108,113
